code,name,listingDate,shares,listingBoard
ESTI,Ever Shine Tex Tbk.,1992-10-13T00:00:00,2015208720,Pemantauan Khusus
ETWA,Eterindo Wahanatama Tbk,1997-05-16T00:00:00,4668671400,Pemantauan Khusus
EXCL,XL Axiata Tbk.,2005-09-29T00:00:00,13128430665,Utama
FAST,Fast Food Indonesia Tbk.,1993-05-11T00:00:00,3990277158,Pengembangan
FASW,Fajar Surya Wisesa Tbk.,1994-12-19T00:00:00,2477888787,Pemantauan Khusus
FISH,FKS Multi Agro Tbk.,2002-01-18T00:00:00,480000000,Pemantauan Khusus
FMII,Fortune Mate Indonesia Tbk,2000-06-30T00:00:00,6400000000,Pengembangan
FORU,Fortune Indonesia Tbk,2002-01-17T00:00:00,465224000,Pengembangan
FPNI,Lotte Chemical Titan Tbk.,2002-03-21T00:00:00,5566414000,Pengembangan
FREN,Smartfren Telecom Tbk.,2006-11-29T00:00:00,4.77E+11,Pemantauan Khusus
GAMA,Aksara Global Development Tbk.,2012-07-11T00:00:00,10011027656,Pemantauan Khusus
GDST,Gunawan Dianjaya Steel Tbk.,2009-12-23T00:00:00,9242500000,Pemantauan Khusus
GDYR,Goodyear Indonesia Tbk.,1980-12-22T00:00:00,410000000,Pengembangan
GEMA,Gema Grahasarana Tbk.,2002-08-12T00:00:00,1600000000,Pengembangan
GEMS,Golden Energy Mines Tbk.,2011-11-17T00:00:00,5882353000,Utama
GGRM,Gudang Garam Tbk.,1990-08-27T00:00:00,1924088000,Utama
GIAA,Garuda Indonesia (Persero) Tbk,2011-02-11T00:00:00,91480783837,Pemantauan Khusus
GJTL,Gajah Tunggal Tbk.,1990-05-08T00:00:00,3484800000,Utama
GLOB,Globe Kita Terang Tbk.,2012-07-10T00:00:00,1111112000,Pemantauan Khusus
GMTD,Gowa Makassar Tourism Developm,2000-12-11T00:00:00,1015380000,Pengembangan
GOLD,Visi Telekomunikasi Infrastruk,2010-07-07T00:00:00,1277276000,Pengembangan
GOLL,Golden Plantation Tbk.,2014-12-23T00:00:00,3665000759,Pemantauan Khusus
GPRA,Perdana Gapuraprima Tbk.,2007-10-10T00:00:00,4276655336,Pengembangan
GSMF,Equity Development Investment ,1989-10-23T00:00:00,14230399705,Pengembangan
GTBO,Garda Tujuh Buana Tbk,2009-07-09T00:00:00,2500000000,Pengembangan
GWSA,Greenwood Sejahtera Tbk.,2011-12-23T00:00:00,7800760000,Pengembangan
GZCO,Gozco Plantations Tbk.,2008-05-15T00:00:00,6000000000,Pengembangan
HADE,Himalaya Energi Perkasa Tbk.,2004-04-12T00:00:00,2120000000,Pemantauan Khusus
HDFA,Radana Bhaskara Finance Tbk.,2011-05-10T00:00:00,6542445783,Pengembangan
HDTX,Panasia Indo Resources Tbk.,1990-06-06T00:00:00,3601462800,Pemantauan Khusus
HERO,DFI Retail Nusantara Tbk.,1989-08-21T00:00:00,4183634000,Pengembangan
HEXA,Hexindo Adiperkasa Tbk.,1995-02-13T00:00:00,840000000,Utama
HITS,Humpuss Intermoda Transportasi,1997-12-15T00:00:00,7101084801,Utama
HMSP,H.M. Sampoerna Tbk.,1990-08-15T00:00:00,1.16E+11,Pengembangan
HOME,Hotel Mandarine Regency Tbk.,2008-07-17T00:00:00,22212194782,Pemantauan Khusus
HOTL,Saraswati Griya Lestari Tbk.,2013-01-10T00:00:00,3550001452,Pemantauan Khusus
HRUM,Harum Energy Tbk.,2010-10-06T00:00:00,13518100000,Utama
IATA,MNC Energy Investments Tbk.,2006-09-13T00:00:00,25238245556,Pemantauan Khusus
IBFN,Intan Baru Prana Tbk.,2014-12-22T00:00:00,1517332349,Pemantauan Khusus
IBST,Inti Bangun Sejahtera Tbk.,2012-08-31T00:00:00,1350904927,Pemantauan Khusus
ICBP,Indofood CBP Sukses Makmur Tbk,2010-10-07T00:00:00,11661908000,Utama
ICON,Island Concepts Indonesia Tbk.,2005-07-08T00:00:00,1089750000,Pemantauan Khusus
IGAR,Champion Pacific Indonesia Tbk,1990-11-05T00:00:00,972204500,Pengembangan
IIKP,Inti Agri Resources Tbk,2002-10-14T00:00:00,33600000000,Pemantauan Khusus
IKAI,Intikeramik Alamasri Industri ,1997-06-04T00:00:00,13305799387,Pemantauan Khusus
IKBI,Sumi Indo Kabel Tbk.,1991-01-21T00:00:00,1224000000,Pengembangan
IMAS,Indomobil Sukses Internasional,1993-11-15T00:00:00,3994291039,Utama
IMJS,Indomobil Multi Jasa Tbk.,2013-12-10T00:00:00,8654325000,Pengembangan
IMPC,Impack Pratama Industri Tbk.,2014-12-17T00:00:00,54268500000,Utama
INAF,Indofarma Tbk.,2001-04-17T00:00:00,3099267500,Pemantauan Khusus
INAI,Indal Aluminium Industry Tbk.,1994-12-05T00:00:00,633600000,Pengembangan
INCI,Intanwijaya Internasional Tbk,1990-07-24T00:00:00,207656617,Pengembangan
INCO,Vale Indonesia Tbk.,1990-05-16T00:00:00,10539784534,Utama
INDF,Indofood Sukses Makmur Tbk.,1994-07-14T00:00:00,8780426500,Utama
INDR,Indo-Rama Synthetics Tbk.,1990-08-03T00:00:00,654351707,Pengembangan
INDS,Indospring Tbk.,1990-08-10T00:00:00,6562497100,Pengembangan
INDX,Tanah Laut Tbk,2001-05-17T00:00:00,437913588,Pengembangan
INDY,Indika Energy Tbk.,2008-06-11T00:00:00,5210192000,Utama
INKP,Indah Kiat Pulp & Paper Tbk.,1990-07-16T00:00:00,5470982941,Utama
INPC,Bank Artha Graha Internasional,1990-08-23T00:00:00,20021178779,Utama
INPP,Indonesian Paradise Property T,2004-01-12T00:00:00,11181971732,Pengembangan
INRU,Toba Pulp Lestari Tbk.,1990-06-18T00:00:00,1388883283,Pengembangan
INTA,Intraco Penta Tbk.,1993-08-23T00:00:00,3343935022,Pemantauan Khusus
INTD,Inter Delta Tbk,1989-12-18T00:00:00,591828000,Pengembangan
INTP,Indocement Tunggal Prakarsa Tb,1989-12-05T00:00:00,3681231699,Utama
IPOL,Indopoly Swakarsa Industry Tbk,2010-07-09T00:00:00,6443379509,Pengembangan
ISAT,Indosat Tbk.,1994-10-19T00:00:00,32250810957,Utama
ISSP,Steel Pipe Industry of Indones,2013-02-22T00:00:00,7185992035,Utama
ITMA,Sumber Energi Andalan Tbk.,1990-12-10T00:00:00,999053167,Pengembangan
ITMG,Indo Tambangraya Megah Tbk.,2007-12-18T00:00:00,1129925000,Utama
JAWA,Jaya Agra Wattie Tbk.,2011-05-30T00:00:00,16232951842,Pengembangan
JECC,Jembo Cable Company Tbk.,1992-11-18T00:00:00,756000000,Pengembangan
JIHD,Jakarta International Hotels &,1984-02-29T00:00:00,2329040482,Pengembangan
JKON,Jaya Konstruksi Manggala Prata,2007-12-04T00:00:00,16308519860,Utama
JKSW,Jakarta Kyoei Steel Works Tbk.,1997-08-06T00:00:00,150000000,Pemantauan Khusus
JPFA,Japfa Comfeed Indonesia Tbk.,1989-10-23T00:00:00,11726575201,Utama
JRPT,Jaya Real Property Tbk.,1994-06-29T00:00:00,13750000000,Pengembangan
JSMR,Jasa Marga (Persero) Tbk.,2007-11-12T00:00:00,7257871200,Utama
JSPT,Jakarta Setiabudi Internasiona,1998-01-12T00:00:00,2318736000,Pengembangan
JTPE,Jasuindo Tiga Perkasa Tbk.,2002-04-16T00:00:00,6852050000,Utama
KAEF,Kimia Farma Tbk.,2001-07-04T00:00:00,5566588407,Pengembangan
KARW,Meratus Jasa Prima Tbk.,1994-12-20T00:00:00,587152700,Pemantauan Khusus
KBLI,KMI Wire & Cable Tbk.,1992-07-06T00:00:00,4007235107,Utama
KBLM,Kabelindo Murni Tbk.,1992-06-01T00:00:00,1120000000,Pengembangan
KBLV,First Media Tbk.,2000-02-25T00:00:00,1742167907,Pemantauan Khusus
KBRI,Kertas Basuki Rachmat Indonesi,2008-07-11T00:00:00,8687995734,Pemantauan Khusus
KDSI,Kedawung Setia Industrial Tbk.,1996-07-29T00:00:00,1620000000,Pengembangan
KIAS,Keramika Indonesia Assosiasi T,1994-12-08T00:00:00,14929100000,Pemantauan Khusus
KICI,Kedaung Indah Can Tbk,1993-10-28T00:00:00,276000000,Pengembangan
KIJA,Kawasan Industri Jababeka Tbk.,1995-01-10T00:00:00,20824888369,Utama
KKGI,Resource Alam Indonesia Tbk.,1991-07-01T00:00:00,5000000000,Utama
KLBF,Kalbe Farma Tbk.,1991-07-30T00:00:00,46875122110,Utama
KOBX,Kobexindo Tractors Tbk.,2012-07-05T00:00:00,2272500000,Pengembangan
KOIN,Kokoh Inti Arebama Tbk,2008-04-09T00:00:00,980843732,Pemantauan Khusus
KONI,Perdana Bangun Pusaka Tbk,1995-08-22T00:00:00,312000000,Pengembangan
KOPI,Mitra Energi Persada Tbk.,2015-05-04T00:00:00,697266668,Pengembangan
KPIG,MNC Land Tbk.,2000-03-30T00:00:00,97557129263,Pengembangan
KRAH,Grand Kartech Tbk.,2013-11-08T00:00:00,971190000,Pemantauan Khusus
KRAS,Krakatau Steel (Persero) Tbk.,2010-11-10T00:00:00,19346396900,Pengembangan
KREN,Quantum Clovera Investama Tbk.,2002-06-28T00:00:00,18208470100,Pemantauan Khusus
LAPD,Leyand International Tbk.,2001-07-17T00:00:00,3966350139,Pemantauan Khusus
LCGP,Eureka Prima Jakarta Tbk.,2007-07-13T00:00:00,5630000914,Pemantauan Khusus
LEAD,Logindo Samudramakmur Tbk.,2013-12-11T00:00:00,5799616328,Pengembangan
LINK,Link Net Tbk.,2014-06-02T00:00:00,2863195484,Pemantauan Khusus
LION,Lion Metal Works Tbk.,1993-08-20T00:00:00,520160000,Utama
LMAS,Limas Indonesia Makmur Tbk,2001-12-28T00:00:00,787851525,Pemantauan Khusus
LMPI,Langgeng Makmur Industri Tbk.,1994-10-17T00:00:00,1008517669,Pengembangan
LMSH,Lionmesh Prima Tbk.,1990-06-04T00:00:00,96000000,Pemantauan Khusus
LPCK,Lippo Cikarang Tbk,1997-07-24T00:00:00,2679600000,Utama
LPGI,Lippo General Insurance Tbk.,1997-07-22T00:00:00,3000000000,Pemantauan Khusus
LPIN,Multi Prima Sejahtera Tbk,1990-02-05T00:00:00,425000000,Pengembangan
LPKR,Lippo Karawaci Tbk.,1996-06-28T00:00:00,70898018369,Utama
LPLI,Star Pacific Tbk,1989-10-23T00:00:00,1170432803,Pengembangan
LPPF,Matahari Department Store Tbk.,1989-10-09T00:00:00,2259292880,Utama
LPPS,Lenox Pasifik Investama Tbk.,1994-03-28T00:00:00,2588250000,Pengembangan
LRNA,Eka Sari Lorena Transport Tbk.,2014-04-15T00:00:00,350000022,Pengembangan
LSIP,PP London Sumatra Indonesia Tb,1996-07-05T00:00:00,6819963965,Utama
LTLS,Lautan Luas Tbk.,1997-07-21T00:00:00,1560000000,Utama
MAGP,Multi Agro Gemilang Plantation,2013-01-16T00:00:00,9000000004,Pemantauan Khusus
MAIN,Malindo Feedmill Tbk.,2006-02-10T00:00:00,2238750000,Utama
MAMI,Mas Murni Indonesia Tbk,1994-02-09T00:00:00,12299317590,Pemantauan Khusus
MAPI,Mitra Adiperkasa Tbk.,2004-11-10T00:00:00,16600000000,Utama
MASA,Multistrada Arah Sarana Tbk.,2005-06-09T00:00:00,9182946945,Pengembangan
MAYA,Bank Mayapada Internasional Tb,1997-08-29T00:00:00,25906179152,Utama
MBAP,Mitrabara Adiperdana Tbk.,2014-07-10T00:00:00,1227271952,Pengembangan
MBSS,Mitrabahtera Segara Sejati Tbk,2011-04-06T00:00:00,1750026639,Utama
MBTO,Martina Berto Tbk.,2011-01-13T00:00:00,1070000000,Pengembangan
MCOR,Bank China Construction Bank I,2007-07-03T00:00:00,37540533209,Utama
MDIA,Intermedia Capital Tbk.,2014-04-11T00:00:00,39215538400,Pemantauan Khusus
MDKA,Merdeka Copper Gold Tbk.,2015-06-19T00:00:00,24472983771,Utama
MDLN,Modernland Realty Tbk.,1993-01-18T00:00:00,12533067322,Utama
MDRN,Modern Internasional Tbk.,1991-07-16T00:00:00,7632167798,Pemantauan Khusus
MEDC,Medco Energi Internasional Tbk,1994-10-12T00:00:00,25136231252,Utama
MEGA,Bank Mega Tbk.,2000-04-17T00:00:00,11623514905,Utama
MERK,Merck Tbk.,1981-07-23T00:00:00,448000000,Pengembangan
